epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,213.944,0.64225,5.1229,0.50928,0.78714,0.29399,0.27156,0.18096,0.43041,1.4362,0.50033,0.000174947,0.000174947,0.000174947
2,408.323,0.50362,0.9292,0.39057,0.5154,0.3144,0.32088,0.22015,0.39234,1.00531,0.45791,0.000343345,0.000343345,0.000343345
3,600.177,0.47421,0.86672,0.37439,0.55023,0.34483,0.34183,0.23288,0.40498,0.9834,0.47689,0.000504799,0.000504799,0.000504799
4,791.537,0.47134,0.84831,0.35977,0.5658,0.36582,0.33383,0.23497,0.40142,0.99977,0.49396,0.000494756,0.000494756,0.000494756
5,982.921,0.46987,0.8015,0.35041,0.66364,0.36285,0.39137,0.27194,0.38052,0.8544,0.4543,0.000484341,0.000484341,0.000484341
6,1173.96,0.45686,0.76614,0.34511,0.59639,0.41134,0.41909,0.28894,0.38834,0.83647,0.47909,0.000473926,0.000473926,0.000473926
7,1365.49,0.43417,0.73798,0.32893,0.55709,0.43464,0.44624,0.30613,0.37622,0.77753,0.46105,0.000463511,0.000463511,0.000463511
8,1556.73,0.43002,0.73598,0.32589,0.70767,0.44441,0.45814,0.31427,0.37084,0.71033,0.43861,0.000453096,0.000453096,0.000453096
9,1749.5,0.42393,0.7187,0.3382,0.66858,0.45172,0.45271,0.30964,0.38258,0.74262,0.47229,0.000442682,0.000442682,0.000442682
10,1940.54,0.42717,0.68564,0.32332,0.72514,0.43955,0.48094,0.32887,0.36186,0.69873,0.42752,0.000432267,0.000432267,0.000432267
11,2131.74,0.41307,0.66817,0.30911,0.60542,0.51511,0.53393,0.36034,0.35209,0.66323,0.40653,0.000421852,0.000421852,0.000421852
12,2323.39,0.4074,0.6725,0.30518,0.6507,0.49529,0.54447,0.36765,0.36898,0.65877,0.43372,0.000411437,0.000411437,0.000411437
13,2516.21,0.42206,0.66685,0.31306,0.65441,0.54594,0.56316,0.37331,0.36466,0.61715,0.44686,0.000401022,0.000401022,0.000401022
14,2710.31,0.41066,0.65108,0.30421,0.68666,0.53901,0.56539,0.37017,0.37096,0.62552,0.44808,0.000390608,0.000390608,0.000390608
15,2902.55,0.40827,0.63133,0.30028,0.62027,0.54517,0.57444,0.38268,0.36627,0.61966,0.45374,0.000380193,0.000380193,0.000380193
16,3094.9,0.40575,0.60907,0.30052,0.61443,0.56297,0.56114,0.37874,0.36343,0.61747,0.44881,0.000369778,0.000369778,0.000369778
17,3286.36,0.39012,0.60517,0.29194,0.71286,0.58164,0.62652,0.40788,0.3562,0.56565,0.41912,0.000359363,0.000359363,0.000359363
18,3478.12,0.37755,0.60785,0.28615,0.7304,0.65305,0.65073,0.44077,0.34276,0.59384,0.38758,0.000348948,0.000348948,0.000348948
19,3669.95,0.38838,0.5928,0.28823,0.74092,0.62799,0.65089,0.40468,0.36683,0.58582,0.45904,0.000338534,0.000338534,0.000338534
20,3864.51,0.3734,0.58068,0.28449,0.70729,0.62829,0.63623,0.4087,0.36704,0.55559,0.45538,0.000328119,0.000328119,0.000328119
21,4058.66,0.38141,0.56938,0.28081,0.64076,0.62088,0.62088,0.41346,0.35456,0.55816,0.43461,0.000317704,0.000317704,0.000317704
22,4250.57,0.37927,0.56635,0.28177,0.71389,0.68354,0.67317,0.43833,0.35564,0.54944,0.40723,0.000307289,0.000307289,0.000307289
23,4443.12,0.3756,0.54746,0.27678,0.75358,0.69786,0.71565,0.45083,0.3523,0.56078,0.41891,0.000296874,0.000296874,0.000296874
24,4635.99,0.38173,0.54641,0.27778,0.66127,0.6681,0.66243,0.42747,0.34816,0.55758,0.39615,0.00028646,0.00028646,0.00028646
25,4827.92,0.37264,0.54983,0.27547,0.73675,0.65607,0.68736,0.44881,0.36128,0.54413,0.41806,0.000276045,0.000276045,0.000276045
26,5019.79,0.36137,0.52928,0.27089,0.73499,0.6345,0.66377,0.4368,0.35538,0.54713,0.42051,0.00026563,0.00026563,0.00026563
27,5211.78,0.35891,0.52091,0.27039,0.74699,0.72312,0.74665,0.48933,0.35556,0.51481,0.41538,0.000255215,0.000255215,0.000255215
28,5404.75,0.35873,0.52462,0.2712,0.72632,0.72907,0.72297,0.47229,0.35318,0.53905,0.41733,0.0002448,0.0002448,0.0002448
29,5597.37,0.35343,0.52064,0.26367,0.80325,0.68514,0.72089,0.4781,0.35426,0.50731,0.41793,0.000234386,0.000234386,0.000234386
30,5789.5,0.34622,0.50538,0.26483,0.76358,0.6937,0.70839,0.46039,0.35647,0.53209,0.42222,0.000223971,0.000223971,0.000223971
31,5982.35,0.34934,0.49322,0.25358,0.83126,0.70001,0.74864,0.48427,0.34701,0.51373,0.41139,0.000213556,0.000213556,0.000213556
32,6175.02,0.34523,0.495,0.25338,0.76606,0.74052,0.74461,0.49067,0.35245,0.51145,0.41245,0.000203141,0.000203141,0.000203141
33,6368.76,0.33783,0.49273,0.25425,0.81811,0.72818,0.75696,0.49904,0.35695,0.50669,0.4143,0.000192726,0.000192726,0.000192726
34,6561.59,0.33657,0.47953,0.24925,0.7621,0.74834,0.76625,0.49482,0.35226,0.50255,0.41192,0.000182312,0.000182312,0.000182312
35,6755.3,0.33241,0.46301,0.24159,0.76489,0.74276,0.7459,0.49018,0.36102,0.49096,0.42734,0.000171897,0.000171897,0.000171897
36,6948.2,0.32923,0.48101,0.25038,0.84214,0.71572,0.75783,0.49458,0.35316,0.50567,0.41925,0.000161482,0.000161482,0.000161482
37,7140.69,0.324,0.46756,0.24563,0.83071,0.71802,0.77521,0.50459,0.35648,0.49502,0.42732,0.000151067,0.000151067,0.000151067
38,7333.52,0.32424,0.46007,0.23761,0.82099,0.76224,0.75753,0.48484,0.35599,0.47915,0.4295,0.000140652,0.000140652,0.000140652
39,7527.03,0.31996,0.45913,0.2335,0.82528,0.76682,0.78207,0.50176,0.35723,0.48999,0.43023,0.000130238,0.000130238,0.000130238
40,7726.95,0.32222,0.4463,0.23328,0.79059,0.75301,0.76042,0.50083,0.35411,0.49956,0.42289,0.000119823,0.000119823,0.000119823
41,7930.07,0.26528,0.35342,0.22784,0.829,0.74492,0.77994,0.5086,0.3494,0.47905,0.41597,0.000109408,0.000109408,0.000109408
42,8124.51,0.2601,0.33602,0.22053,0.81416,0.76654,0.79588,0.51165,0.34893,0.48321,0.41788,9.89932e-05,9.89932e-05,9.89932e-05
43,8318.13,0.25417,0.3342,0.22402,0.86938,0.76247,0.797,0.51327,0.35139,0.47547,0.41956,8.85784e-05,8.85784e-05,8.85784e-05
44,8515.76,0.25061,0.32946,0.21202,0.82239,0.75104,0.78239,0.50524,0.36,0.47458,0.43778,7.81636e-05,7.81636e-05,7.81636e-05
45,8717.62,0.24972,0.32165,0.21012,0.85144,0.76453,0.80269,0.52231,0.35283,0.48787,0.42343,6.77488e-05,6.77488e-05,6.77488e-05
46,8916.44,0.24066,0.31624,0.20744,0.81778,0.76948,0.79515,0.51145,0.3544,0.48291,0.42653,5.7334e-05,5.7334e-05,5.7334e-05
47,9119.3,0.23237,0.30886,0.20142,0.83867,0.76071,0.78538,0.50674,0.35818,0.47065,0.43798,4.69192e-05,4.69192e-05,4.69192e-05
48,9318.4,0.24088,0.30804,0.2073,0.80549,0.77952,0.79216,0.5089,0.35761,0.47753,0.42982,3.65044e-05,3.65044e-05,3.65044e-05
49,9520,0.23806,0.31415,0.20722,0.8301,0.76889,0.79528,0.51568,0.35442,0.4737,0.42373,2.60896e-05,2.60896e-05,2.60896e-05
50,9718.48,0.23123,0.30466,0.19519,0.83062,0.76226,0.79115,0.5096,0.35749,0.47433,0.4353,1.56748e-05,1.56748e-05,1.56748e-05
